comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k1_to_k4,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,-0.0556,0.0437,0.0000,-0.1528,0.0000,0.00,97.22,2.78
k1_to_k4,search_latency,72,35.1680,1.6174,42.2238,31.8558,38.3892,100.00,0.00,0.00
k1_to_k4,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,synthesis_latency,72,2.1075,0.2713,2.1052,1.5732,2.5871,84.72,0.00,15.28
k1_to_k4,tavily_calls,72,3.0000,0.0000,3.0000,3.0000,3.0000,100.00,0.00,0.00
k1_to_k4,total_latency,72,37.2755,1.6597,43.2491,33.8923,40.4665,100.00,0.00,0.00
k1_to_k4,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,total_retrieved_context_size,72,18453.0833,248.9075,19041.5000,17915.3448,18906.1115,100.00,0.00,0.00
k1_to_k4,total_synthesis_context_size,72,16313.8889,323.4197,16594.5000,15671.6868,16982.1997,100.00,0.00,0.00
k1_to_k4,unique_domains,72,11.7639,0.2829,12.0000,11.1941,12.3056,100.00,0.00,0.00
k1_to_k4,unique_urls,72,13.3056,0.2217,14.0000,12.8747,13.7222,100.00,0.00,0.00
k1_to_k8,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,duplicate_url_rate,72,0.0913,0.0109,0.0750,0.0702,0.1130,79.17,20.83,0.00
k1_to_k8,fanout_faithfulness_to_user_query,72,0.0972,0.0972,0.0000,-0.1111,0.2917,11.11,84.72,4.17
k1_to_k8,fanout_overpersonalization_risk,72,0.0556,0.0437,0.0000,0.0000,0.1528,2.78,97.22,0.00
k1_to_k8,fanout_persona_field_use,72,3.3819,0.1090,4.0000,3.1595,3.5903,98.61,1.39,0.00
k1_to_k8,fanout_query_diversity,72,3.9583,0.0309,4.0000,3.8889,4.0000,100.00,0.00,0.00
k1_to_k8,fanout_query_specificity,72,2.6806,0.0787,3.0000,2.5139,2.8333,98.61,1.39,0.00
k1_to_k8,fanout_search_realism,72,0.4444,0.0737,0.0000,0.3052,0.5833,47.22,50.00,2.78
k1_to_k8,final_actionability_without_overclaiming,72,0.5972,0.1198,1.0000,0.3750,0.8333,56.94,37.50,5.56
k1_to_k8,final_citation_support,72,0.1667,0.0816,0.0000,0.0139,0.3472,6.94,91.67,1.39
k1_to_k8,final_contradiction_with_evidence,72,0.0139,0.0139,0.0000,0.0000,0.0417,1.39,98.61,0.00
k1_to_k8,final_domain_safety,72,0.1389,0.1271,0.0000,-0.0972,0.3889,31.94,55.56,12.50
k1_to_k8,final_evidence_usage_quality,72,0.2528,0.0834,0.0000,0.0972,0.4167,20.83,75.00,4.17
k1_to_k8,final_groundedness,72,0.3625,0.1105,0.0000,0.1652,0.5917,25.00,69.44,5.56
k1_to_k8,final_intent_satisfaction,72,0.8889,0.1260,1.0000,0.6389,1.1253,66.67,29.17,4.17
k1_to_k8,final_missing_constraint_awareness,72,0.6667,0.1713,1.0000,0.3472,1.0000,58.33,26.39,15.28
k1_to_k8,final_non_genericness,72,1.0833,0.1338,1.0000,0.8194,1.3472,69.44,26.39,4.17
k1_to_k8,final_overpersonalization,72,-0.2083,0.1250,0.0000,-0.4444,0.0417,5.56,75.00,19.44
k1_to_k8,final_personalization_target_use,72,1.1389,0.1561,1.0000,0.8333,1.4448,68.06,25.00,6.94
k1_to_k8,final_safety,72,0.1111,0.1320,0.0000,-0.1389,0.3472,31.94,55.56,12.50
k1_to_k8,final_specificity,72,0.9167,0.1115,1.0000,0.6944,1.1250,65.28,33.33,1.39
k1_to_k8,final_uncertainty_calibration,72,0.4861,0.1467,1.0000,0.1944,0.7778,51.39,37.50,11.11
k1_to_k8,final_unsupported_claim_risk,72,-0.3625,0.1088,0.0000,-0.5848,-0.1749,5.56,69.44,25.00
k1_to_k8,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,realized_k,72,7.0000,0.0000,7.0000,7.0000,7.0000,100.00,0.00,0.00
k1_to_k8,retrieval_constraint_coverage,72,1.9444,0.1556,2.0000,1.6528,2.2500,81.94,18.06,0.00
k1_to_k8,retrieval_disconfirming_coverage,72,-0.2917,0.0978,0.0000,-0.5000,-0.1250,0.00,84.72,15.28
k1_to_k8,retrieval_distractor_robustness,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,retrieval_evidence_relevance,72,0.6250,0.1258,0.0000,0.3750,0.8476,40.28,52.78,6.94
k1_to_k8,retrieval_result_persona_fit,72,2.1458,0.1537,2.0000,1.8472,2.4375,86.11,13.89,0.00
k1_to_k8,retrieval_source_quality,72,0.7083,0.1210,0.5000,0.4583,0.9309,50.00,44.44,5.56
k1_to_k8,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,-0.0278,0.0278,0.0000,-0.0833,0.0000,0.00,98.61,1.39
k1_to_k8,search_latency,72,90.8697,3.5168,99.0831,83.1620,97.5359,100.00,0.00,0.00
k1_to_k8,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,synthesis_latency,72,4.9902,0.3716,5.3386,4.2655,5.6697,94.44,0.00,5.56
k1_to_k8,tavily_calls,72,7.0000,0.0000,7.0000,7.0000,7.0000,100.00,0.00,0.00
k1_to_k8,total_latency,72,95.8599,3.5922,105.7401,88.1221,102.4765,100.00,0.00,0.00
k1_to_k8,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,total_retrieved_context_size,72,38915.3472,1011.7631,41989.5000,36975.1326,40777.2052,100.00,0.00,0.00
k1_to_k8,total_synthesis_context_size,72,34504.7222,1031.5524,36541.5000,32600.9562,36409.8729,100.00,0.00,0.00
k1_to_k8,unique_domains,72,23.3472,0.8194,24.0000,21.8191,24.9865,100.00,0.00,0.00
k1_to_k8,unique_urls,72,28.4722,0.8215,31.0000,26.9444,29.9868,100.00,0.00,0.00
