comparison,metric,sample_count,mean_paired_diff,sem,median_paired_diff,ci95_low,ci95_high,pct_improved,pct_unchanged,pct_worsened
k4_to_k8,total_retrieved_context_size,72,16837.3333,516.6311,16153.0000,15886.3316,17863.1809,100.00,0.00,0.00
k4_to_k8,total_synthesis_context_size,72,15163.9722,562.6783,14682.5000,14073.5184,16326.7785,100.00,0.00,0.00
k4_to_k8,unique_domains,72,14.1250,0.3845,15.0000,13.3747,14.8198,100.00,0.00,0.00
k4_to_k8,unique_urls,72,18.3750,0.2930,19.0000,17.7500,18.8750,100.00,0.00,0.00
k1_to_k4,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,duplicate_url_rate,72,0.0403,0.0058,0.0250,0.0291,0.0514,50.00,50.00,0.00
k1_to_k4,fanout_faithfulness_to_user_query,72,0.2222,0.0911,0.0000,0.0417,0.4167,18.06,79.17,2.78
k1_to_k4,fanout_overpersonalization_risk,72,0.0694,0.0774,0.0000,-0.0833,0.2361,4.17,94.44,1.39
k1_to_k4,fanout_persona_field_use,72,2.9028,0.1031,3.0000,2.7080,3.0833,100.00,0.00,0.00
k1_to_k4,fanout_query_diversity,72,3.7917,0.0711,4.0000,3.6389,3.9028,100.00,0.00,0.00
k1_to_k4,fanout_query_specificity,72,2.3889,0.0960,3.0000,2.1944,2.5559,97.22,2.78,0.00
k1_to_k4,fanout_search_realism,72,0.1389,0.0497,0.0000,0.0552,0.2361,16.67,80.56,2.78
k1_to_k4,final_actionability_without_overclaiming,72,0.4444,0.1134,1.0000,0.1944,0.6670,51.39,37.50,11.11
k1_to_k4,final_citation_support,72,0.2361,0.0827,0.0000,0.0972,0.4167,12.50,87.50,0.00
k1_to_k4,final_contradiction_with_evidence,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,final_domain_safety,72,0.2500,0.1115,0.0000,0.0278,0.4722,33.33,56.94,9.72
k1_to_k4,final_evidence_usage_quality,72,0.3722,0.0986,0.0000,0.1778,0.5694,34.72,55.56,9.72
k1_to_k4,final_groundedness,72,0.4694,0.1256,0.0000,0.2431,0.7278,38.89,47.22,13.89
k1_to_k4,final_intent_satisfaction,72,0.7153,0.1041,1.0000,0.5000,0.9097,61.11,34.72,4.17
k1_to_k4,final_missing_constraint_awareness,72,0.3889,0.1614,0.0000,0.0694,0.7083,47.22,30.56,22.22
k1_to_k4,final_non_genericness,72,0.9306,0.1256,1.0000,0.6944,1.1667,68.06,29.17,2.78
k1_to_k4,final_overpersonalization,72,-0.2222,0.1345,0.0000,-0.5000,0.0139,6.94,72.22,20.83
k1_to_k4,final_personalization_target_use,72,0.7778,0.1300,1.0000,0.5139,1.0281,55.56,40.28,4.17
k1_to_k4,final_safety,72,0.1111,0.1163,0.0000,-0.1111,0.3333,31.94,51.39,16.67
k1_to_k4,final_specificity,72,0.8264,0.1196,1.0000,0.5903,1.0694,59.72,36.11,4.17
k1_to_k4,final_uncertainty_calibration,72,0.2500,0.1338,0.0000,-0.0139,0.5139,40.28,37.50,22.22
k1_to_k4,final_unsupported_claim_risk,72,-0.5069,0.1299,0.0000,-0.7710,-0.2569,12.50,48.61,38.89
k1_to_k4,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,realized_k,72,3.0000,0.0000,3.0000,3.0000,3.0000,100.00,0.00,0.00
k1_to_k4,retrieval_constraint_coverage,72,1.8750,0.1341,2.0000,1.6111,2.1111,87.50,12.50,0.00
k1_to_k4,retrieval_disconfirming_coverage,72,-0.5694,0.1504,0.0000,-0.8611,-0.3056,0.00,79.17,20.83
k1_to_k4,retrieval_distractor_robustness,72,-0.0417,0.0417,0.0000,-0.1250,0.0000,0.00,98.61,1.39
k1_to_k4,retrieval_evidence_relevance,72,0.6667,0.1440,0.0000,0.4028,0.9583,47.22,40.28,12.50
k1_to_k4,retrieval_result_persona_fit,72,1.9583,0.1446,2.0000,1.6944,2.2500,88.89,8.33,2.78
k1_to_k4,retrieval_source_quality,72,0.5694,0.1167,0.0000,0.3472,0.7917,47.22,44.44,8.33
k1_to_k4,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0139,0.0504,0.0000,-0.0833,0.1250,1.39,97.22,1.39
k1_to_k4,search_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,synthesis_latency,72,2.6111,0.3203,2.2987,1.9657,3.3025,86.11,0.00,13.89
k1_to_k4,tavily_calls,72,3.0000,0.0000,3.0000,3.0000,3.0000,100.00,0.00,0.00
k1_to_k4,total_latency,72,2.6111,0.3203,2.2987,1.9657,3.3025,86.11,0.00,13.89
k1_to_k4,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k4,total_retrieved_context_size,72,12607.6250,432.0467,11809.5000,11760.7920,13536.8021,100.00,0.00,0.00
k1_to_k4,total_synthesis_context_size,72,11872.9306,440.4987,11193.0000,11030.3552,12841.2719,100.00,0.00,0.00
k1_to_k4,unique_domains,72,12.4306,0.2138,13.0000,12.0417,12.8333,100.00,0.00,0.00
k1_to_k4,unique_urls,72,14.1944,0.1164,14.5000,13.9722,14.4170,100.00,0.00,0.00
k1_to_k8,assessor_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,assessor_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,duplicate_url_rate,72,0.0608,0.0086,0.0250,0.0455,0.0785,72.22,27.78,0.00
k1_to_k8,fanout_faithfulness_to_user_query,72,0.1528,0.1095,0.0000,-0.0694,0.3750,18.06,76.39,5.56
k1_to_k8,fanout_overpersonalization_risk,72,0.1250,0.0861,0.0000,-0.0417,0.3056,6.94,91.67,1.39
k1_to_k8,fanout_persona_field_use,72,3.2222,0.1254,4.0000,2.9583,3.4583,95.83,4.17,0.00
k1_to_k8,fanout_query_diversity,72,3.9167,0.0431,4.0000,3.8194,3.9861,100.00,0.00,0.00
k1_to_k8,fanout_query_specificity,72,2.5417,0.0947,3.0000,2.3472,2.7083,97.22,2.78,0.00
k1_to_k8,fanout_search_realism,72,0.1111,0.0672,0.0000,-0.0278,0.2361,18.06,77.78,4.17
k1_to_k8,final_actionability_without_overclaiming,72,0.5903,0.1321,1.0000,0.3332,0.8543,54.17,33.33,12.50
k1_to_k8,final_citation_support,72,0.2083,0.0883,0.0000,0.0417,0.3889,12.50,86.11,1.39
k1_to_k8,final_contradiction_with_evidence,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,final_domain_safety,72,0.3194,0.1024,0.0000,0.0972,0.5417,31.94,56.94,11.11
k1_to_k8,final_evidence_usage_quality,72,0.4611,0.1020,0.0000,0.2722,0.6584,38.89,55.56,5.56
k1_to_k8,final_groundedness,72,0.6417,0.1246,0.0000,0.4167,0.8847,47.22,47.22,5.56
k1_to_k8,final_intent_satisfaction,72,1.0486,0.1244,1.0000,0.8056,1.2917,68.06,27.78,4.17
k1_to_k8,final_missing_constraint_awareness,72,0.6389,0.1900,1.0000,0.2500,1.0000,54.17,23.61,22.22
k1_to_k8,final_non_genericness,72,1.3264,0.1529,1.0000,1.0417,1.6042,75.00,18.06,6.94
k1_to_k8,final_overpersonalization,72,-0.0833,0.1308,0.0000,-0.3333,0.1528,11.11,72.22,16.67
k1_to_k8,final_personalization_target_use,72,1.1111,0.1661,1.0000,0.7778,1.4306,63.89,30.56,5.56
k1_to_k8,final_safety,72,0.1389,0.1014,0.0000,-0.0694,0.3472,26.39,56.94,16.67
k1_to_k8,final_specificity,72,1.1875,0.1332,1.0000,0.9306,1.4375,73.61,22.22,4.17
k1_to_k8,final_uncertainty_calibration,72,0.4861,0.1440,1.0000,0.1806,0.7778,51.39,33.33,15.28
k1_to_k8,final_unsupported_claim_risk,72,-0.7083,0.1250,-0.5000,-0.9583,-0.4722,4.17,44.44,51.39
k1_to_k8,planner_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,realized_k,72,7.0000,0.0000,7.0000,7.0000,7.0000,100.00,0.00,0.00
k1_to_k8,retrieval_constraint_coverage,72,2.2153,0.1341,2.0000,1.9653,2.4722,93.06,6.94,0.00
k1_to_k8,retrieval_disconfirming_coverage,72,-0.5556,0.1518,0.0000,-0.8472,-0.2778,0.00,81.94,18.06
k1_to_k8,retrieval_distractor_robustness,72,-0.0139,0.0139,0.0000,-0.0417,0.0000,0.00,98.61,1.39
k1_to_k8,retrieval_evidence_relevance,72,0.7292,0.1440,0.7500,0.4653,1.0347,51.39,36.11,12.50
k1_to_k8,retrieval_result_persona_fit,72,2.3611,0.1346,3.0000,2.1111,2.6250,93.06,6.94,0.00
k1_to_k8,retrieval_source_quality,72,0.7431,0.1199,1.0000,0.5069,0.9653,54.17,38.89,6.94
k1_to_k8,retrieval_unsafe_or_overpersonalized_retrieval_risk,72,0.0417,0.0417,0.0000,0.0000,0.1250,1.39,98.61,0.00
k1_to_k8,search_latency,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,synthesis_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,synthesis_latency,72,6.9632,0.5999,6.8568,5.8912,8.3168,98.61,0.00,1.39
k1_to_k8,tavily_calls,72,7.0000,0.0000,7.0000,7.0000,7.0000,100.00,0.00,0.00
k1_to_k8,total_latency,72,6.9632,0.5999,6.8568,5.8912,8.3168,98.61,0.00,1.39
k1_to_k8,total_llm_calls,72,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
k1_to_k8,total_retrieved_context_size,72,29444.9583,741.9766,28393.5000,28066.2170,30936.7667,100.00,0.00,0.00
k1_to_k8,total_synthesis_context_size,72,27036.9028,798.3783,26707.5000,25507.3226,28649.1507,100.00,0.00,0.00
k1_to_k8,unique_domains,72,26.5556,0.5096,27.0000,25.5556,27.5000,100.00,0.00,0.00
k1_to_k8,unique_urls,72,32.5694,0.3453,34.0000,31.8611,33.1806,100.00,0.00,0.00
adaptiveB4_vs_k2,assessor_calls,8,1.2500,0.1637,1.0000,1.0000,1.6250,100.00,0.00,0.00
adaptiveB4_vs_k2,assessor_latency,8,16.0165,4.6981,8.3240,8.5679,25.2820,100.00,0.00,0.00
adaptiveB4_vs_k2,duplicate_url_rate,8,0.0000,0.0000,0.0000,0.0000,0.0000,0.00,100.00,0.00
adaptiveB4_vs_k2,fanout_faithfulness_to_user_query,8,-4.6250,0.2631,-5.0000,-5.0000,-4.1250,0.00,0.00,100.00
adaptiveB4_vs_k2,fanout_overpersonalization_risk,8,-1.6250,0.4199,-1.0000,-2.5000,-1.0000,0.00,0.00,100.00
adaptiveB4_vs_k2,fanout_persona_field_use,8,-2.5000,0.3273,-2.5000,-3.1250,-1.8750,0.00,0.00,100.00
adaptiveB4_vs_k2,fanout_query_diversity,8,-2.6250,0.2631,-2.5000,-3.1250,-2.1250,0.00,0.00,100.00
adaptiveB4_vs_k2,fanout_query_specificity,8,-3.6250,0.3239,-4.0000,-4.2500,-3.0000,0.00,0.00,100.00
adaptiveB4_vs_k2,fanout_search_realism,8,-4.7500,0.1637,-5.0000,-5.0000,-4.3750,0.00,0.00,100.00
adaptiveB4_vs_k2,final_actionability_without_overclaiming,8,-3.7500,0.3660,-4.0000,-4.3750,-3.1219,0.00,0.00,100.00
adaptiveB4_vs_k2,final_citation_support,8,-4.7500,0.2500,-5.0000,-5.0000,-4.2500,0.00,0.00,100.00
adaptiveB4_vs_k2,final_contradiction_with_evidence,8,-1.0000,0.0000,-1.0000,-1.0000,-1.0000,0.00,0.00,100.00
adaptiveB4_vs_k2,final_domain_safety,8,-3.5000,0.5000,-3.5000,-4.5000,-2.6250,0.00,0.00,100.00
adaptiveB4_vs_k2,final_evidence_usage_quality,8,-4.3750,0.3750,-5.0000,-4.8750,-3.6250,0.00,0.00,100.00
