[run_batch] 432 runs planned.
[225/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_36
[226/432] done variant=V1_generic_fanout persona=small_business_owner_contracts query_id=q_38
[227/432] done variant=V2_synthesis_only_personalization persona=small_business_owner_contracts query_id=q_38
[228/432] done variant=V3_fanout_only_personalization persona=small_business_owner_contracts query_id=q_38
[229/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_42
[230/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_41
[231/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_39
[232/432] done variant=V5_mixed_fanout persona=small_business_owner_contracts query_id=q_38
[233/432] done variant=V4_personalized_fanout persona=small_business_owner_contracts query_id=q_38
[234/432] done variant=V1_generic_fanout persona=divorced_parent_custody_schedule query_id=q_40
[235/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_40
[236/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_39
[237/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_39
[238/432] done variant=V2_synthesis_only_personalization persona=divorced_parent_custody_schedule query_id=q_40
[239/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_39
[240/432] done variant=V4_personalized_fanout persona=divorced_parent_custody_schedule query_id=q_40
[241/432] done variant=V3_fanout_only_personalization persona=divorced_parent_custody_schedule query_id=q_39
[242/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_43
[243/432] done variant=V5_mixed_fanout persona=divorced_parent_custody_schedule query_id=q_40
[244/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_41
[245/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_42
[246/432] done variant=V0_generic_single persona=employee_noncompete_layoff query_id=q_44
[247/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_42
[248/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_41
[249/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_42
[250/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_41
[251/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_41
[252/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_41
[253/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_42
[254/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_45
[255/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_42
[256/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_43
[257/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_46
[258/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_43
[259/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_43
[260/432] done variant=V1_generic_fanout persona=employee_noncompete_layoff query_id=q_44
[261/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_43
[262/432] done variant=V2_synthesis_only_personalization persona=employee_noncompete_layoff query_id=q_44
[263/432] done variant=V4_personalized_fanout persona=employee_noncompete_layoff query_id=q_44
[264/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_47
[265/432] done variant=V3_fanout_only_personalization persona=employee_noncompete_layoff query_id=q_44
[266/432] done variant=V0_generic_single persona=privacy_conscious_online_creator query_id=q_48
[267/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_43
[268/432] done variant=V5_mixed_fanout persona=employee_noncompete_layoff query_id=q_44
[269/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_45
[270/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_45
[271/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_45
[272/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_45
[273/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_46
[274/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_46
[275/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_46
[276/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_46
[277/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_45
[278/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[279/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_46
[280/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_47
[281/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_47
[282/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_48
[283/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[284/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_48
[285/432] done variant=V2_synthesis_only_personalization persona=privacy_conscious_online_creator query_id=q_48
[286/432] done variant=V1_generic_fanout persona=privacy_conscious_online_creator query_id=q_47
[287/432] done variant=V3_fanout_only_personalization persona=privacy_conscious_online_creator query_id=q_47
[288/432] done variant=V4_personalized_fanout persona=privacy_conscious_online_creator query_id=q_48
[289/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_47
[290/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[291/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[292/432] done variant=V5_mixed_fanout persona=privacy_conscious_online_creator query_id=q_48
[293/432] done variant=V0_generic_single persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[294/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[295/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[296/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[297/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[298/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[299/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_49
[300/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_53
[301/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[302/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[303/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[304/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[305/432] done variant=V1_generic_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[306/432] done variant=V2_synthesis_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[307/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_54
[308/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_50
[309/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[310/432] done variant=V3_fanout_only_personalization persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[311/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[312/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_51
[313/432] done variant=V4_personalized_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[314/432] done variant=V5_mixed_fanout persona=paycheck_to_paycheck_credit_rebuild query_id=q_52
[315/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_53
[316/432] done variant=V1_generic_fanout persona=high_income_low_time_tech_worker query_id=q_53
[317/432] done variant=V3_fanout_only_personalization persona=high_income_low_time_tech_worker query_id=q_53
[318/432] done variant=V0_generic_single persona=first_gen_college_grad_student_loans query_id=q_56
[319/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_55
[320/432] done variant=V4_personalized_fanout persona=high_income_low_time_tech_worker query_id=q_53
[321/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_54
[322/432] done variant=V5_mixed_fanout persona=high_income_low_time_tech_worker query_id=q_53
[323/432] done variant=V3_fanout_only_personalization persona=high_income_low_time_tech_worker query_id=q_54
[324/432] done variant=V1_generic_fanout persona=high_income_low_time_tech_worker query_id=q_54
[325/432] done variant=V4_personalized_fanout persona=high_income_low_time_tech_worker query_id=q_54
[326/432] done variant=V0_generic_single persona=high_income_low_time_tech_worker query_id=q_57
[327/432] done variant=V5_mixed_fanout persona=high_income_low_time_tech_worker query_id=q_54
[328/432] done variant=V2_synthesis_only_personalization persona=high_income_low_time_tech_worker query_id=q_55
[329/432] done variant=V0_generic_single persona=first_gen_college_grad_student_loans query_id=q_58
[330/432] done variant=V1_generic_fanout persona=first_gen_college_grad_student_loans query_id=q_56
